"cd102","103rd Congressional District","county","cntyname","fplace80","plac80nm","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","1990 POP","cd103 to county allocation factor","county to cd103 allocation factor"
"27","35","06037","Los Angeles CA"," "," ",118.340058,33.946367,90781,1,0.010242 
"27","36","06037","Los Angeles CA"," "," ",118.383325,33.890297,254549,1,0.02872 
"27","37","06037","Los Angeles CA"," "," ",118.302866,33.850943,7405,1,0.000835 
"28","30","06037","Los Angeles CA"," "," ",118.293505,34.054555,50559,1,0.005704 
"28","32","06037","Los Angeles CA"," "," ",118.340776,34.017378,375356,1,0.04235 
"28","33","06037","Los Angeles CA"," "," ",118.275555,34.050576,63776,1,0.007196 
"28","35","06037","Los Angeles CA"," "," ",118.359851,33.954285,61731,1,0.006965 
"28","36","06037","Los Angeles CA"," "," ",118.421204,33.970432,48628,1,0.005487 
"29","32","06037","Los Angeles CA"," "," ",118.297648,33.994295,49728,1,0.005611 
"29","33","06037","Los Angeles CA"," "," ",118.222278,33.972504,225742,1,0.02547 
"29","35","06037","Los Angeles CA"," "," ",118.275037,33.974196,281117,1,0.031717 
"29","37","06037","Los Angeles CA"," "," ",118.248285,33.940618,54649,1,0.006166 
"29","38","06037","Los Angeles CA"," "," ",118.127767,33.954523,31265,1,0.003528 
"30","28","06037","Los Angeles CA"," "," ",117.96509,34.114887,17515,0.047798,0.001976 
"30","31","06037","Los Angeles CA"," "," ",118.065868,34.079211,400403,1,0.045176 
"30","33","06037","Los Angeles CA"," "," ",118.173615,33.976313,141796,1,0.015998 
"30","34","06037","Los Angeles CA"," "," ",118.121378,34.015163,85987,1,0.009702 
"31","35","06037","Los Angeles CA"," "," ",118.328514,33.907356,137253,1,0.015486 
"31","36","06037","Los Angeles CA"," "," ",118.297695,33.825052,31777,1,0.003585 
"31","37","06037","Los Angeles CA"," "," ",118.235951,33.888546,325220,1,0.036693 
"31","38","06037","Los Angeles CA"," "," ",118.14694,33.891258,104966,1,0.011843 
"32","36","06037","Los Angeles CA"," "," ",118.296835,33.743988,59606,1,0.006725 
"32","37","06037","Los Angeles CA"," "," ",118.221422,33.80372,184749,1,0.020845 
"32","38","06037","Los Angeles CA"," "," ",118.152831,33.833289,337305,1,0.038057 
